,State,Adult smoking,Adult obesity,Poor mental health days
361,CA,0.106,0.205,3.2
362,CA,0.212,0.23,4.2
363,CA,0.212,0.248,4.2
364,CA,0.192,0.243,4.5
365,CA,0.192,0.244,4.5
366,CA,0.191,0.258,4.3
367,CA,0.191,0.243,4.3
368,CA,,0.226,2.6
369,CA,,0.223,2.6
370,CA,0.116,0.237,3.4
371,CA,0.116,0.224,3.4
372,CA,0.203,0.255,4.0
373,CA,0.203,0.255,4.0
374,CA,0.143,0.203,3.1
375,CA,0.143,0.21,3.1
376,CA,0.139,0.294,3.7
377,CA,0.139,0.285,3.7
378,CA,0.15,0.268,3.1
379,CA,0.15,0.259,3.1
380,CA,0.186,0.265,3.9
381,CA,0.186,0.257,3.9
382,CA,0.124,0.235,3.8
383,CA,0.124,0.221,3.8
384,CA,,0.238,
385,CA,,0.228,
386,CA,0.16,0.278,4.2
387,CA,0.16,0.28,4.2
388,CA,0.125,0.242,4.3
389,CA,0.125,0.237,4.3
390,CA,0.245,0.267,4.5
391,CA,0.245,0.265,4.5
392,CA,0.181,0.256,4.1
393,CA,0.181,0.241,4.1
394,CA,0.123,0.213,3.7
395,CA,0.123,0.213,3.7
396,CA,0.138,0.297,4.6
397,CA,0.138,0.276,4.6
398,CA,0.097,0.154,3.0
399,CA,0.097,0.158,3.0
400,CA,0.204,0.238,3.4
401,CA,0.204,0.241,3.4
402,CA,0.182,0.248,4.0
403,CA,0.182,0.242,4.0
404,CA,0.117,0.313,4.2
405,CA,0.117,0.311,4.2
406,CA,,0.251,
407,CA,,0.241,
408,CA,,0.208,3.1
409,CA,,0.216,3.1
410,CA,0.125,0.228,4.6
411,CA,0.125,0.22,4.6
412,CA,0.085,0.236,4.0
413,CA,0.085,0.241,4.0
414,CA,0.141,0.185,3.0
415,CA,0.141,0.178,3.0
416,CA,0.109,0.204,3.2
417,CA,0.109,0.207,3.2
418,CA,0.081,0.228,2.9
419,CA,0.081,0.225,2.9
420,CA,0.144,0.23,3.4
421,CA,0.144,0.248,3.4
422,CA,0.146,0.27,4.1
423,CA,0.146,0.259,4.1
424,CA,0.146,0.277,3.7
425,CA,0.146,0.269,3.7
426,CA,,0.243,2.6
427,CA,,0.233,2.6
428,CA,0.162,0.282,4.1
429,CA,0.162,0.277,4.1
430,CA,0.121,0.231,3.7
431,CA,0.121,0.226,3.7
432,CA,0.095,0.16,3.1
433,CA,0.095,0.152,3.1
434,CA,0.164,0.31,4.0
435,CA,0.164,0.304,4.0
436,CA,0.091,0.2,3.5
437,CA,0.091,0.204,3.5
438,CA,0.105,0.2,3.2
439,CA,0.105,0.208,3.2
440,CA,0.105,0.192,3.3
441,CA,0.105,0.194,3.3
442,CA,0.103,0.21,2.7
443,CA,0.103,0.204,2.7
444,CA,0.101,0.201,3.7
445,CA,0.101,0.215,3.7
446,CA,0.251,0.28,4.1
447,CA,0.251,0.273,4.1
448,CA,,0.234,
449,CA,,0.233,
450,CA,0.238,0.233,4.9
451,CA,0.238,0.217,4.9
452,CA,0.135,0.271,3.3
453,CA,0.135,0.265,3.3
454,CA,0.14,0.225,3.4
455,CA,0.14,0.224,3.4
456,CA,0.171,0.308,3.9
457,CA,0.171,0.321,3.9
2186,LA,0.236,0.323,3.4
2187,LA,0.213,0.376,4.8
2188,LA,0.213,0.347,4.8
2189,LA,0.194,0.345,3.2
2190,LA,0.194,0.332,3.2
2191,LA,0.2,0.334,3.8
2192,LA,0.2,0.325,3.8
2193,LA,0.265,0.39,3.6
2194,LA,0.265,0.383,3.6
2195,LA,0.258,0.331,3.6
2196,LA,0.258,0.351,3.6
2197,LA,0.259,0.39,3.5
2198,LA,0.259,0.378,3.5
2199,LA,0.256,0.339,3.6
2200,LA,0.256,0.359,3.6
2201,LA,0.22,0.339,2.9
2202,LA,0.22,0.335,2.9
2203,LA,0.219,0.346,3.4
2204,LA,0.219,0.332,3.4
2205,LA,0.287,0.408,
2206,LA,0.287,0.356,
2207,LA,0.309,0.362,
2208,LA,0.309,0.345,
2209,LA,0.283,0.359,4.1
2210,LA,0.283,0.375,4.1
2211,LA,0.226,0.355,2.7
2212,LA,0.226,0.389,2.7
2213,LA,0.225,0.354,3.0
2214,LA,0.225,0.367,3.0
2215,LA,0.284,0.369,4.3
2216,LA,0.284,0.35,4.3
2217,LA,0.17,0.336,2.6
2218,LA,0.17,0.331,2.6
2219,LA,0.265,0.415,2.9
2220,LA,0.265,0.426,2.9
2221,LA,0.211,0.355,3.2
2222,LA,0.211,0.397,3.2
2223,LA,0.263,0.315,3.6
2224,LA,0.263,0.352,3.6
2225,LA,0.258,0.355,2.1
2226,LA,0.258,0.363,2.1
2227,LA,0.29,0.332,4.4
2228,LA,0.29,0.331,4.4
2229,LA,0.201,0.369,2.9
2230,LA,0.201,0.392,2.9
2231,LA,0.164,0.384,4.5
2232,LA,0.164,0.421,4.5
2233,LA,0.193,0.352,3.0
2234,LA,0.193,0.395,3.0
2235,LA,0.28,0.346,3.5
2236,LA,0.28,0.335,3.5
2237,LA,0.208,0.32,3.8
2238,LA,0.208,0.328,3.8
2239,LA,0.263,0.354,3.6
2240,LA,0.263,0.368,3.6
2241,LA,0.223,0.295,3.0
2242,LA,0.223,0.282,3.0
2243,LA,0.226,0.38,3.6
2244,LA,0.226,0.353,3.6
2245,LA,0.149,0.326,3.1
2246,LA,0.149,0.344,3.1
2247,LA,0.238,0.332,3.8
2248,LA,0.238,0.35,3.8
2249,LA,0.246,0.402,3.2
2250,LA,0.246,0.421,3.2
2251,LA,0.219,0.39,4.0
2252,LA,0.219,0.399,4.0
2253,LA,0.271,0.39,4.6
2254,LA,0.271,0.374,4.6
2255,LA,0.199,0.309,4.4
2256,LA,0.199,0.309,4.4
2257,LA,0.211,0.335,3.4
2258,LA,0.211,0.341,3.4
2259,LA,0.234,0.338,3.2
2260,LA,0.234,0.343,3.2
2261,LA,0.139,0.323,
2262,LA,0.139,0.358,
2263,LA,0.234,0.345,3.8
2264,LA,0.234,0.362,3.8
2265,LA,0.244,0.338,2.9
2266,LA,0.244,0.395,2.9
2267,LA,0.177,0.388,2.9
2268,LA,0.177,0.385,2.9
2269,LA,0.237,0.365,4.2
2270,LA,0.237,0.384,4.2
2271,LA,0.216,0.36,7.1
2272,LA,0.216,0.353,7.1
2273,LA,0.198,0.334,3.1
2274,LA,0.198,0.346,3.1
2275,LA,0.21,0.375,3.2
2276,LA,0.21,0.398,3.2
2277,LA,0.203,0.362,3.3
2278,LA,0.203,0.376,3.3
2279,LA,0.174,0.364,4.1
2280,LA,0.174,0.344,4.1
2281,LA,0.25,0.414,3.9
2282,LA,0.25,0.421,3.9
2283,LA,0.251,0.356,3.3
2284,LA,0.251,0.351,3.3
2285,LA,0.221,0.38,3.5
2286,LA,0.221,0.387,3.5
2287,LA,0.204,0.29,3.6
2288,LA,0.204,0.288,3.6
2289,LA,0.201,0.368,4.0
2290,LA,0.201,0.374,4.0
2291,LA,0.256,0.353,1.8
2292,LA,0.256,0.341,1.8
2293,LA,0.239,0.399,3.8
2294,LA,0.239,0.387,3.8
2295,LA,0.259,0.365,3.7
2296,LA,0.259,0.346,3.7
2297,LA,0.238,0.33,3.6
2298,LA,0.238,0.324,3.6
2299,LA,0.267,0.375,3.5
2300,LA,0.267,0.395,3.5
2301,LA,0.277,0.386,3.1
2302,LA,0.277,0.388,3.1
2303,LA,0.257,0.339,2.9
2304,LA,0.257,0.35,2.9
2305,LA,0.205,0.328,3.9
2306,LA,0.205,0.355,3.9
2307,LA,0.295,0.372,3.4
2308,LA,0.295,0.379,3.4
2309,LA,,0.349,
2310,LA,,0.366,
2311,LA,0.207,0.342,2.9
2312,LA,0.207,0.344,2.9
3244,NC,0.238,0.332,3.6
3245,NC,0.26,0.272,4.6
3246,NC,0.26,0.283,4.6
3247,NC,0.271,0.247,4.4
3248,NC,0.271,0.235,4.4
3249,NC,0.198,0.346,
3250,NC,0.198,0.351,
3251,NC,0.24,0.225,3.5
3252,NC,0.24,0.243,3.5
3253,NC,0.245,0.289,2.7
3254,NC,0.245,0.257,2.7
3255,NC,0.283,0.343,2.4
3256,NC,0.283,0.319,2.4
3257,NC,0.185,0.35,2.3
3258,NC,0.185,0.352,2.3
3259,NC,0.206,0.361,4.2
3260,NC,0.206,0.357,4.2
3261,NC,0.214,0.295,3.5
3262,NC,0.214,0.291,3.5
3263,NC,0.2,0.236,3.8
3264,NC,0.2,0.236,3.8
3265,NC,0.242,0.288,4.8
3266,NC,0.242,0.31,4.8
3267,NC,0.193,0.309,3.2
3268,NC,0.193,0.293,3.2
3269,NC,0.225,0.295,3.8
3270,NC,0.225,0.293,3.8
3271,NC,0.172,0.302,2.2
3272,NC,0.172,0.313,2.2
3273,NC,0.214,0.29,3.4
